en,md
riddle,篩
rocker,搖桿
trumpet,小號；喇叭口
sunscreen,防曬劑
hotline,熱線
plummet,鉛錘；鉛垂線
agitation,攪拌；擾動
novelty,花式；新奇；新穎
motorway,高速公路
webpage,網頁
lighthouse,燈塔
initiation,開始；啟動；起始
landowner,土地所有權人
footing,基礎；註腳；基腳；結總
secrecy,秘密性
slum,貧民窟；貧民區
reseller,中間商
taps,熄燈號
latitude,緯度；寬容度
teamwork,團隊合作；團隊工作
plug-in,外掛程式；插件；插入式
build-up,建立；組成；安裝；堆積
weber,韋伯
attire,衣服；服裝
graffiti,塗鴉
beetle,甲蟲
mole,鼴鼠；莫耳；摩耳；胎塊
camel,駱駝；軟毛刷
pulp,髓；果肉；紙漿
alliances,聯盟
moose,駝鹿
hypertension,高血壓
pigment,色素；顏料
staircase,梯間
rendition,演示
laurel,月桂；月桂樹
annuity,年金
skyline,地平線；天際線
sociology,社會學
rosemary,迷迭香
tack,黏性；圖釘；黏度；粘性
reconnect,重新連線
pick-up,小貨車；黏著
entertainer,演藝人員
brighten,增亮
famine,飢餓
sentinel,哨兵；傳送器
adversary,對手；敵手
willow,柳樹
expectancy,預期；期望
methane,甲烷
wizards,精靈
deception,欺騙；誘導；欺詐；欺敵
cabbage,腔室
rag,抹布；碎布；飛邊；建築石材
injections,注射劑
beaver,毛呢
fender,擋泥板；防舷材
openness,開放性
motel,汽車旅館
resurgence,再生；復發；復現
liter,公升
lotion,洗劑
wig,假髮
alias,別名
germ,胚芽
rhyme,述題
rotor,下盤；轉子
fading,衰退；消退；褪色；衰落；衰減
stitches,針法
touchscreen,觸控螢幕
comprehension,理解
shale,頁岩；油頁岩
persistence,持續；滯留；持續性；持久性；殘光
stacks,書庫
ventilator,呼吸器；通風機
positivity,正性
avoidance,避性
dictatorship,獨裁
bedding,層面；底層；墊底；層理；墊料；作畦；褥墊
glossy,亮面；光滑的
shovel,鏟土機
constellation,星座
combustion,燃燒
domination,統治；顯性化
bytes,位元組
interviewer,訪談者
neon,氖；氖氣
tendon,腱；韌帶；肌腱
cores,核心
mover,運輸車；驅動器
statutes,成文法
surfer,網友
coefficient,係數；系數
stylist,造型師
bouquet,酒香
escalation,升級；提報
toxicity,中毒；毒性；有毒性
lumber,木材
shear,剪；剪力；剪切
workspace,工作空間；工作區
transcription,轉錄
prominence,日珥
blackout,中斷；停電
subset,子集；子集合
sleeper,枕木；軌枕
annex,附錄；附件
digestion,消化；分解；消化作用
drape,覆蓋
lust,性慾
granddaughter,第三代核
pinnacle,尖塔；岩峰
counterfeit,偽造
astronomy,天文學
scratches,刮傷
foliage,簇葉
simmer,燉
chromosome,染色體
estimation,估計
corrosion,侵蝕；腐蝕；溶蝕
abdomen,腹；腹部
gag,作噁
pathology,病理學
sediment,沉積物；沉澱物；沈澱物；沈積物；沉渣
dummy,虛擬；假人；小體
pigeon,鴿
heartbeat,心跳；心搏
radioactive,放射性的
chime,管鐘；食糜
thermostat,恆溫器；恆溫裝置
piper,吹風機
hijack,劫機
sushi,壽司
glaze,釉；釉料
warm-up,暖機
withholding,扣繳；預扣稅款
scissors,剪刀
hitch,連接
doctorate,博士學位
nicotine,菸鹼
cameo,浮雕；客串演出
conglomerate,關係企業；礫岩
pear,梨木
usability,使用性；使用度；可用性
loneliness,寂寞
donkey,驢
aggravate,加重
inflow,流入；入流；內流；進水量
inconsistency,不一致；不一致性
lettuce,萵苣
surcharge,附加費用
stockpile,儲量
cradle,托架；搖台
standby,備用
adherence,附著；附著力
lagoon,潟湖
ration,日糧
flux,流；流動；溶劑；通量；通率
redundancy,重複；裁員；重複性；異地備援；重覆性；冗餘
pane,窗格
brow,眉
watcher,監看員
topple,傾倒
detainee,俘虜
obedience,服從
nuisance,損害；公害；汙穢
antioxidants,抗氧化劑
diversification,多樣化；多角化
violet,紫外線；紫羅蘭色
shuffle,置換
broth,培養液
elicit,引出
convoy,車隊；船隊
inflate,膨脹；充氣
adulthood,成年；成年期；成人期
tamper,竄改
footnote,註腳
caramel,焦糖
gorge,峽；峽谷
bikini,比基尼裝
newbie,新手
two-way,雙向
biotechnology,生物科技；生物技術；生物工程學
equilibrium,平衡；均衡
migraine,偏頭痛
gorilla,大猩猩
flint,燧石
mash,粉料
mantle,罩；函；斗篷；外罩；地函；外套膜；殼套
prostitution,賣淫
subtract,減
tug,拖車；拖船
implants,移植；植入劑
taxis,趨性
blush,臉紅
fume,煙；煙霧；煙氣；燻煙
ligament,韌帶；細線
homosexuality,同性戀
freshwater,淡水
bluff,懸崖
handheld,手持的
familiarity,熟悉；熟悉性
vagina,陰道；葉基；葉鞘；葉莖
condemnation,廢棄；報廢
surname,姓氏
scarcity,稀少性
biting,咬
masked,遮罩
debug,除錯；偵錯
enlightenment,啟蒙；啟蒙運動
finder,中人；探測器
precipitation,沉澱；沈澱；降水
manpower,人力
zipper,拉鍊；拉鏈
oncology,腫瘤學
experimentation,實驗
cursor,游標
infer,推理
leaflet,傳單；小葉；摺頁；單張
optics,光學
crease,皺褶
censorship,設限；審查制度；檢查制度
canine,犬齒
enrichment,增殖；富集；加濃；濃化
abduction,外展；展肢
gust,陣風
innovators,創新者
nonfiction,非小說
allot,分配
grazing,擦傷；放牧
loophole,漏洞
screenplay,劇本
interrogation,詢問；訊問；詢答
gearbox,變速箱
snippet,片段
benign,良性；良性的
skincare,護膚
brilliance,光彩
siren,警笛
primaries,初級飛羽
immersion,浸入；沈入；入掩；浸沒
stopper,制動器
asbestos,石綿；石棉
sender,發射機；發送器；發訊者
decimal,小數；十進位制
uphill,上坡
cellar,地下室
kite,鳶
plum,巨石；梅紅
fiddle,提琴；小提琴
realism,寫實主義
nasal,鼻；鼻的；鼻用
imprint,印記；印痕；押印
mammoth,猛獁象
morph,形態；變形；形變
polyester,聚酯；聚酯纖維；聚脂
ascend,上升；升高
solder,焊料
detergent,清潔劑
para,副
nat,奈特
misdemeanor,微罪
censor,查禁
ascent,上升
stand-up,直立
soybean,黃豆
diagnostics,診斷；診斷學
climax,高潮
glare,眩光
deterioration,變質；損耗；劣化
coupe,雙門跑車
containment,封鎖；圍堵；圍阻
paradox,矛盾；弔詭；悖論
lineage,線列；譜系
bald,光禿的
earmark,指定用途
gymnastics,體操
ulcer,潰瘍
launcher,發射器
linkage,連鎖；連接；鏈結；鍵合
therapeutics,治療法；治療學
insurgents,叛亂分子
personalization,個人化
typhoon,颱風
denomination,教派
flurry,陣雪
tidal,潮汐的
reptile,爬蟲；爬蟲類
ethanol,酒精；乙醇；乙醇胺
capsules,膠囊劑
capitalization,資本化
imitate,模擬
refining,提煉；精煉
wallaby,袋鼠
windshield,擋風玻璃
receptors,感受器
grader,分級機
limp,跛行
intuition,直覺
salty,含鹽的
ceramics,陶瓷；陶質
melee,混戰；碎鑽
evergreen,常綠的
wasp,土蜂
mediocre,中等的
calibration,校正；校準；率定；校驗
licensee,被授權人
farmland,農地
fittings,裝具
deflect,偏轉
solidify,固化
by-product,副產品；副產物
ply,層；夾層
mosquitoes,蚊子
subcommittee,小組委員會；分組委員會
crocodile,鱷
renal,腎的
intercourse,性交
iceberg,冰山
sideways,側向
fabricate,製造
subtitle,字幕；副標題
doorway,門口
cobra,眼鏡蛇
harp,豎琴
feminism,女性主義
latency,延遲；潛伏；潛伏期；潛時
biotech,生物技術
propagate,傳播
jade,玉
fabrication,製造；組合；加工；組裝；產製；組構
biopsy,生檢；切片檢查
thirst,渴
sect,教派
textiles,紡織物
safeguards,安全防護
flashlight,手電筒
uplift,上升；隆起；額外費用
sitcom,情境喜劇
hymn,讚美歌
nugget,小塊；塊金；塊晶
nudge,輕推
changer,更換器
incompetent,軟弱的
maize,玉米
interchange,交換
communism,共產主義
precursor,前身；母體；前兆；前標；前驅物
abnormality,異常；非常態性
bursting,滿檔
proportional,比例
inbound,入站
resistor,電阻器
palate,下唇
hesitation,暫停
anecdote,趣聞軼事
pollutant,汙染物；污染物
hydrate,水合；水合物
uptake,攝取；吸取
budding,出芽
kiosk,資訊站
workstation,工作站
quarry,採石場
segregation,隔離；分離；分凝；凝析
deprivation,剝奪
walkway,步道；走道
stokes,斯托克；史托克斯
tails,燕尾服
groundwater,地下水
pottery,陶器
incarnation,實體；化身
quartz,石英
evaporate,蒸發
wiki,維基
torrent,急流
facilitator,協調員；促進者
wrinkles,皺紋
synopsis,綱目；故事大綱
rejects,不良品
drizzle,毛毛雨
reactive,反應；反應的；反作用力；反應性的
ozone,臭氧
takeoff,去除
foray,突襲
inlet,入口；進水口；入水口；進氣口；潮口
lobbyist,遊說者
budgeting,預算編列
downtime,停滯期；停止時間；中斷時間
remittance,匯款；匯兌
jog,跳動；微動
manifold,流形；歧管
monarchy,君主政體
skew,歪斜；偏斜
rectangular,矩形的
toolbar,工具列
sunk,已沈沒
lizard,蜥蜴
kettle,鍋；壺穴
extinct,絕種
meltdown,熔毀
pollen,花粉
lifeline,維生管線；救生索
mediate,媒；間接的
deplete,耗乏
ledger,分類帳；總賬
vitality,活力；生活力
bland,緩和
intellect,智性
nipple,乳頭
blockade,封鎖
shoreline,海岸線；濱線
defamation,誹謗
underlie,底層；下伏
mundane,平凡；圈外
measles,麻疹
characterization,角色刻劃
sucker,吸盤
runaway,失控
parallels,緯線
electrode,電極
drinker,飲水器
concurrent,併生
vascular,血管；血管的
dalton,道爾頓；達爾頓
tripod,腳架；三角架；三腳架
debtor,債務人
differentiation,分化；差異化；微分
malfunction,故障；失靈；功能障礙；功能失常
metropolis,都會；都會區
warden,冬梨
stature,身材；身高
sensibility,靈敏度；感受性
troubleshoot,故障檢修
stink,惡臭
haze,霧；霾；霧化；霧狀；迷光
stamina,精力
emblem,象徵符號；寓意畫
snail,蝸牛；海螺
excavation,開挖；挖方
end-user,終端使用者
convergence,收斂；收歛；趨同；輻合
emanate,析出
parenthood,親職
chlorine,氯；氯氣
mute,靜音
repercussion,回聲
magician,巫師
pallet,拖板；棧板；托板
aftermarket,售後服務；售後市場
trade-off,交易；賣掉；折衷；權衡
vale,谷；山谷
malt,麥芽
miscarriage,流產
inpatient,住院病患；住院病人
onsite,廠內
leakage,洩漏；滲漏；漏洩；漏流
limestone,石灰岩；石灰石
compiler,編譯器
kale,甘藍菜；芥藍
payload,載重量；酬載
slug,斯；鉛字；蛞蝓
stockholder,股東
affluent,支流
estrogen,雌激素；動情素；雌性激素
bipolar,兩極的；雙極；雙極性；兩極性
stagger,錯開；錯列
physiology,生理學；解剖生理學
arteries,動脈
petal,花瓣
stifle,膝關節
dengue,登革熱
shroud,護罩；遮板
resale,轉售
pluck,內臟
competencies,能耐
ransomware,勒索病毒
wetlands,濕地
darn,縫補
innate,先天的
anti-inflammatory,抗發炎的
fascination,發楞
pervasive,滲透的
one-way,單向
replication,重複；複製
corpus,本金；語料庫
vocalist,聲樂家
confiscate,沒收
spade,鏟
negate,否定
lambert,朗伯
chimney,煙囪
adamant,硬石
rusty,鏽的
moan,呻吟
crimson,大紅；緋紅；緋紅色
close-up,特寫
trolley,手推車；平台車
plow,犁
parody,仿作；諧擬
implicit,隱性
transient,短暫的；瞬變；暫態
snowfall,降雪；降雪量
parity,平價；同位；宇稱；平價指數
strut,支撐；支柱；短柱
barley,大麥
pollute,污染
doubtful,疑彈
hobbies,興趣
panoramic,全景
discrete,離散；分散的；離散的
funk,刺鼻臭味
opaque,不透明；不透明的；不透光的
treadmill,跑步機
elk,麋鹿
coma,昏迷；彗髮
finite,有限；有限的
barge,駁船
nook,角；岬角；隅角
sublime,崇高
mesa,方山；台面
criterion,標準；基準；準則；效標
marlin,馬林魚
fuzzy,模糊理論
overrun,衝出；膨脹率
imposition,排版；裝版
humid,濕的；潮濕的；潤溼
circa,大約
hoist,吊車；吊掛；起重機；吊機
neutralize,中和
clove,丁香
deposition,蓄積；沉積；沈積
absentee,空號
mast,桿；柱；桅；肥胖細胞；天線塔
lien,脾；留置權；扣押權
facade,立面
rubble,碎石；塊石；拋石；粗石
kilo,千
wane,虧
end-to-end,全程；端對端
capacitor,電容器
warehouses,倉庫
airflow,氣流
slur,重影
vandalism,惡意毀損
narcotics,麻醉藥；麻醉劑
retina,網膜；視網膜
buoy,浮標；浮筒；浮漂
eject,放出；彈出
etch,蝕刻；溶蝕
ions,離子；游子
grinder,砂輪機；研磨機；研磨器；磨床；磨粉機
directories,目錄
ceremonial,儀式性
spruce,雲杉
adrenaline,腎上腺素
hindsight,後見之明
afloat,漂浮
dissemination,分發；傳遞；分送；配送；散佈；播散
inclination,傾斜；傾斜度；傾角；傾度
barrage,火網；彈幕；攔河壩
intermittent,間歇；間歇性；間歇的
alto,高地
tumour,腫瘤
glands,腺；腺體
reluctance,磁阻
unwind,解開
parachute,降落傘
gamma,加馬；伽瑪；灰階
pip,光波
tabloid,文摘
thermometer,溫度計
motorbike,摩托車
acronym,縮寫字
reflex,回復；回流；反射；反射的
remit,減免
racket,制輪
pitfall,陷阱
piracy,掠奪；海盜行為；侵犯專利權
latex,乳膠；膠乳
coolant,冷卻劑；冷卻液
patriotism,愛國主義
obscenity,猥褻
folds,皺褶
tint,顏色；色調；錫輝；淺色調；輝度；色輝
flute,溝紋；流槽
variability,變異；變化性；變異性；變動性；可變性；變異數
inscription,雕刻
mare,月海；母馬
reprint,加印
chatter,顫動；震顫
insomnia,失眠
ballad,敘事曲
tang,海帶
neutrality,中立；中性
rodent,鼠害；囓齒類；齧齒動物
confinement,侷限；局限；禁閉
sever,伺服器
franchisee,加盟者
suitability,適應性；適合性
pedigree,系譜；譜系
exhaustion,耗竭
thumbnail,縮圖
ambiguity,不明確；歧義；模糊性
sapphire,藍寶石
hem,摺邊；緣邊
gasket,襯墊；墊片；墊圈
globalization,全球化
coarse,粗略
marrow,髓
syringe,注射器；注射筒
destroyer,驅逐艦
masculine,男性化
genus,屬；種類
tram,礦車
fasten,固色
rupture,破壞；破裂；斷裂；裂斷
jealousy,嫉妒；妒忌
tuberculosis,結核；結核病
cassette,卡式；片匣
cranberry,蔓越莓
plywood,合板；層板
toolkit,工具箱；工具包
mop,拖把
toner,碳粉；染色劑
implements,用具
collagen,膠原；膠原蛋白
autograph,親筆簽名
obligate,必須的
hormonal,激素的
filtration,過濾；濾過
canary,金絲雀
binder,黏合劑；粘合劑
resemblance,相似；相似性
platter,橢圓盤
inward,向內
plush,毛絨
in-line,沿線
barricade,防柵
craftsman,技工
purport,自認
poly,多的
bazaar,市集
char,炭；碳化；炭化；字元
ramification,分歧；分支；支脈
mono,單；單聲道
self-driving,自動駕駛
dissertation,學位論文
starch,澱粉
blindness,失明；盲目
yu,玉
baffle,隔板；擋板；遮光板；檔板
orbital,軌道的；眼眶的；軌域
var,乏；種類
saturation,飽和；飽和脂肪酸；飽和度；飽和狀態；飽合
reggae,雷鬼音樂
rigor,僵直
authenticate,認證；鑑別
spheres,球
anterior,前；前部；前面的；前方的
radiant,弧度
craftsmanship,手工藝
dissolution,解散；分解；溶解
moth,蛾
pianist,鋼琴家
gale,強風；大風；疾風
scour,沖刷；洗刷；沖蝕
palliative,舒緩的
spills,裂縫
skim,浮渣
neuroscience,神經科學
goggle,護目鏡；護眼罩
nozzle,噴嘴
sheen,光彩
satin,緞；緞紋
contraceptive,避孕劑
barker,剝皮機
evasion,迴避
analogue,類比；類比訊號
trough,溝；槽；谷底；凹槽；溝槽；波谷；海槽；流槽；低壓槽；凹點
departmental,部的
grille,格柵
footer,註腳
detach,拆離
uterus,子宮
bottoms,底
insanity,瘋癲；精神錯亂
fetus,胎兒
tiers,升層
nano,奈；毫微
malnutrition,營養不良
gastrointestinal,胃腸的
carton,紙箱
resumption,再續
cps,秒
wharf,碼頭
larva,幼蟲；幼魚
converse,逆
covert,覆羽
hoax,戲弄
groin,鼠蹊部；突堤；丁壩
wildcat,井
culmination,中天
epilepsy,癲癇；癲癇症
hex,十六
acidic,酸性的
pelvic,骨盆的
back-up,填充
schizophrenia,思覺失調症
ramifications,分枝
skepticism,懷疑論
embroidery,刺繡
incorporation,結合；併入；收編；股份公司
superpower,超大功率
segmentation,分裂；區隔；分段
lifecycle,生命周期
angular,角；角的
planter,植栽槽
cortex,皮質；皮層；表皮層
arbor,樹木；喬木；心軸
ledge,板；礦脈
notation,注；符號；標記；註記；記號
expiry,逾時
stand-alone,單獨
inference,推理；推論
stoppage,停工
manga,漫畫
plumber,管工；配管工
calibrate,校正；校準
watermelon,西瓜
completeness,完整性；完備性
long-range,長程；長射程
locale,地點；場所；區性
blister,氣泡；護罩；起泡；水疱；天線罩
mower,割草機；剪草機
hanger,上盤；吊架；吊鉤
kangaroo,袋鼠
subside,消退
time-out,潛時
indefinite,不定
geology,地質；地質學
pastel,粉彩畫；粉蠟筆
deletion,刪除；缺失
payoff,償付
sag,低區；鬆垂；弛度
inhibitors,抑制劑
anthology,選集
photon,光子
zodiac,黃道；黃道帶
meme,迷因
supervisory,監視；監督
microbe,微生物
contaminant,汙染物；污染物；污染物質
pendant,懸岩；懸垂的；岩垂
peacock,雄孔雀
repression,壓抑
illumination,照明；光照；亮度；照度；彩色插圖
forearm,前臂；護木
anthropology,人類學
mule,騾
diffuse,擴散；漫射；彌漫性
algebra,代數
gemini,雙生子
thorn,針；棘
laminate,積層；層板
posterior,後；後的；後部
dehydration,脫水
negativity,否定性
pollutants,污染物
ala,翼
fluorescent,螢光的
psychiatry,精神科；精神病學
ornaments,裝飾音
standoff,停滯
telegram,電報
usefulness,有效性；有用性
comma,逗號；音差
keystone,拱心石
importation,輸入
forecaster,預報員
parrot,鸚鵡；傳真機
orgasm,性高潮
scarlet,猩紅；猩紅的
orchid,蘭
sterile,無菌；不孕的；無菌的
forage,草料
artisans,藝匠
asphalt,瀝青
cosmos,宇宙
peptide,肽；胜肽
panorama,全景
meteor,流星
rarity,稀少性
dysfunctional,功能異常
allotment,指配
checkup,檢查；體檢
recurrent,復發的；遞迴
thicken,變厚；加粗
temperament,氣質
archie,高射砲；高射炮
delusion,妄想
complexes,複合物；錯合物
mediator,媒介；介質；調解人；媒介者；調解者；中介物
recollection,回憶
mane,上午；鬃；鬃毛
droplet,飛沫；小水滴；小滴；微滴
apron,停機坪；附表；護床
puncture,崩潰；穿刺；刺穿；擊穿；穿刺術
tuner,調諧器
condoms,衛生套
orb,眼球
co-owner,共有人
mercer,布商
stiffness,剛性；僵直；勁度；堅硬度
methamphetamine,甲基安非他命
swab,擦拭；棉花棒；拭子；水刷
maroon,暗紅
prism,柱；稜鏡；棱鏡；三稜鏡
scotch,轄
preclude,排除
additives,添加物
archaeology,考古學
incubator,育成中心；孵蛋器；培育箱
gutter,口道；邊溝；中縫；河槽；書溝
run-up,溯上
sol,溶膠
burrow,隧道
pluto,冥王星
buggy,推車；手推車
know-how,訣竅
slit,縫；細縫；裂隙；狹縫；光柵
autoimmune,自體免疫；自體免疫的
bridging,橋接；橋架
mogul,電影大亨
starvation,飢餓；匱乏；饑餓；饑餓感；飢饉
collage,拼貼
insertion,結合；插入；著生；嵌入；入軌
caterpillar,毛蟲；履帶；履帶車
navigator,領航員
menopause,更年期；停經
refinement,精煉；精細化
foreground,前景
tides,潮汐
anil,木藍
tenders,招標
config,組態
tangle,纏結
tenor,品位；付款期限
routers,路由器
intersect,交集
liquidation,清算
adjunct,配件；添加劑
tentative,試探
hydration,水和；水化；水合
fetal,胎兒的
recourse,追索權
sunflower,向日葵
detachment,分離；脫卸；分遣隊
camouflage,偽裝；保護色
quay,碼頭
expend,使用；消費
antigen,抗原
turret,砲塔；角塔；炮塔；轉塔
relapse,再發；復發；複發
cushions,緩衝
stout,粗大的
turmeric,薑黃
etiquette,禮節
cashier,出納員
interrogate,詢問；訊問
expedite,跟催
continuum,連續；連體；連續體
shrubs,灌叢
venom,毒液
arson,縱火
dunes,沙丘；砂丘
inhibition,禁止；抑制；滅火；抑制作用
hotspots,熱點
upheaval,隆起
meg,百萬
teller,出納
dusk,黃昏；晨昏
bystander,旁觀者
attribution,歸因；原創性
greyhound,灰狗
impetus,衝擊
sac,囊
cosmopolitan,全球性的；世界性的
preheat,預熱
repel,排斥
microbes,微生物
webcast,網路廣播
computation,計算
handshake,交握
biometric,生物辨識
oatmeal,燕麥片
paddock,小圍場；柵圍
markup,加成
surveyor,測量員；驗船師；太空探測器
normalize,正常化
constipation,便秘；便祕
marshmallow,蜀葵
rodeo,牛仔競技
breaching,裂口
dormant,休眠；休眠的
spat,鞋罩
clad,包層
nineteenth,十九度
paralysis,麻痺；麻痹
wink,瞬間；閃時
fermentation,發酵；醱酵
cull,淘汰；不良品；劣品
specialization,專任；專業化；特殊化；特定化
braces,吊帶
worldview,世界觀
hulk,龐然大物
bitterness,苦味
bottleneck,瓶頸
radiate,發射；輻射；放射；輻射狀的
sturgeon,鱘
schema,架式；綱要；圖示；綱目；基模
fairway,通路；航道；航路；主航道
biomass,生質；生物量
sinus,竇；彎曲
symbolism,象徵主義；符號體系
rework,重做
cohesion,凝聚；內聚力；黏著力；凝聚性；緊密性
blockage,阻塞；堵塞
derrick,吊桿；塔架；井架
surrogate,代用品
ammonia,氨
diagonal,對角；對角線；斜線；對角線的
indigo,靛；靛藍；靛青
beet,甜菜
intruder,入侵者；侵入者
lymph,淋巴；淋巴液
blower,增壓器；鼓風機
chow,食；食物
imitation,模仿
buyout,收購
birch,白樺；樺木
bulge,船腹
cavalry,騎兵；輕騎兵
substitutes,替代品
sabre,軍刀
harmonic,調和；諧的；諧波
filament,絲；纖維；帶狀；細絲；花絲；長絲；燈絲
anglers,鮟鱇
caster,轉向；鑄工；腳輪
docker,碼頭工人
dialect,方言
boils,癤
percussion,打擊；撞擊；擊樂器
sweepstakes,抽獎
vial,小玻璃瓶
bogey,不明機；不明飛機
propane,丙烷
anchors,地錨
complexion,狀態
mains,主電源
workbook,工作手冊；練習簿
stabilization,穩定；穩定作用；穩定化；安定化
abandonment,中止治療
debacle,解凍；冰裂
scribe,劃線
sauna,桑拿浴
rooster,公雞；小公雞
leveling,調平；校平；水準測量
lax,鬆弛的
modality,形式；模態
lubricant,潤滑；潤滑劑
flakes,雪片
deadlock,閉鎖；鎖死；死結
symmetry,對稱；對稱性
contraception,避孕
catapult,彈射器
mite,蟎；壁蝨
sparrow,麻雀
zebra,斑馬
goggles,護目鏡
crunchy,軟片
elemental,基本
dialysis,透析
boredom,厭煩
mulch,覆蓋物；敷蓋
knuckle,關節；棱角
ferment,酵素
vigilance,警戒；警醒
inverter,變流器
crib,格架
outflow,流量；流出；外流；流出量
encapsulate,封裝；囊裝
mull,紗布；腐植質；腐植層
recurrence,重現；復發；遞迴
voice-over,旁白
cobalt,鈷
dupe,複本
phosphate,磷酸鹽
runtime,運轉時間
carcass,骨架；屠體
strangle,狹窄；關斷
abnormalities,異常
binoculars,雙筒望遠鏡
vin,葡萄酒
fungi,真菌；菌類
aloe,蘆薈
richness,豐富性；豐富度
cravings,渴想
airspace,空域；空腔
thaw,融化；解凍
melanoma,黑色素瘤
clean-up,收金
rearrange,重安排
departures,經距
octopus,章魚
anomalies,異例
aqua,水；青色
chloride,氯；氯化物
airbag,氣墊；氣囊
injector,注射器；噴嘴；噴油嘴；噴射器
acupuncture,針灸
persuasion,說服
proprietor,業主
jasper,碧玉
licensor,授權人
neptune,香螺
leukemia,白血病
mentorship,師徒關係
knack,技巧
badminton,羽球
magnify,擴大；放大
sprite,精靈；子畫面
charisma,魅力
post-mortem,事後分析
throughput,處理量；生產量；產出量
underside,底面
nitrate,硝酸鹽
ppm,百萬分之一
trespass,非法入侵
incidental,偶發
saturate,飽和；飽合；飽和攻擊
conduit,管道；通道；導管；導線管
restraints,禁止
shard,碎片
bandage,繃帶
nip,壓力線
gush,暴雨
predictor,預測因子
causal,因果；原因的；因果的
blinds,遮罩
nighttime,夜間
mating,交配；配種
aspirin,阿斯匹靈；阿司匹靈；阿斯匹林
tonic,主音
anesthesia,麻醉
indifferent,未分化的
jig,工模；治具
stratum,層；階層；地層
trot,快步
mismatch,錯置；誤接；失配
silky,絲狀的
shingle,礫石
rye,黑麥；裸麥
transistor,電晶體
expulsion,排出
porcelain,瓷；瓷器
bison,野牛
scuba,水肺
cones,錐體
pamphlet,小冊子
solids,固體
backfire,回火；逆火
cactus,仙人掌
saliva,唾液
docks,碼頭
cheetah,獵豹
contrasts,對比
scorpion,蠍
regenerate,再生
stagnant,停滯的
erection,豎立；勃起
collusion,共謀；合謀；串謀
graphite,石墨
burnout,燒毀；燒壞；燒穿
utensil,器具
dentistry,牙科學
readership,閱讀人數
inaction,不作為
hopper,漏斗
loader,裝載機
entrench,掘壕
bombard,轟擊
infancy,嬰兒期
blunder,錯誤；大錯誤
shaker,振盪器；振動器
abstraction,抽象；萃取；抽象化
reissue,補照
barren,荒原
steroid,類固醇
megawatt,百萬瓦
silo,儲倉；筒倉；飛彈發射井
terrestrial,地面；地球的；陸地的
inline,行內
indifference,無差異
pathologist,病理學家
defraud,詐欺
limbo,空背景
espionage,諜報
saloon,轎車；客廳
modernization,現代化
fodder,秣
roach,蟑螂；蜚蠊
doughnut,墊圈
eyeball,眼球
infertility,不孕；不孕症
directional,方向性；指向性
announcer,播音員；播報員；廣播員
coverings,覆蓋物
fins,散熱鰭片
cleanser,清潔劑；濾水器；去污劑
clump,塊；叢；凝塊
scoreboard,計分板
faucet,水龍頭；旋塞
bristle,鬃；剛毛
rue,芸香
mishap,失事
fauna,動物相；動物群；動物誌
genital,生殖器；生殖的
pharaoh,法老
fiberglass,玻璃纖維
pothole,坑洞；壺穴
radial,光線；徑向；放射狀的
infestation,感染；傳染
immature,不成熟的；未成熟的
deviate,偏差
cologne,古龍水
magnum,大骨
bunk,床
vertex,頂；頭頂；最高點；頂端；頂點
retake,重拍
optimise,最佳
minions,爪牙
undercut,底切
barking,去皮
jolt,震動；振動
contaminants,汙染物
napkin,尿布；餐巾
diode,二極體；二極管
communicator,傳播者；通信器
taint,魚腥味
leggings,綁腿
canister,金屬罐
spew,滲出物
anchorage,定錨；錨定；固定術；錨碇
artefact,假影
disbursement,支付；支出
redistribution,重分配；再分配
meridian,經線；子午線
turbulence,亂流；擾動；擾流；紊流
microscopic,微觀的；顯微鏡的
archival,歸檔
timeout,時限；逾時
chaplain,隨軍牧師
bezel,表框
lyric,抒情的
manure,糞肥
webcam,網路攝影機
cyst,囊腫
skeletal,骨骼的
chipset,晶片組
circumcision,割禮
tequila,龍舌蘭酒
folklore,民俗學
enactment,法令規章
off-load,卸載
hydrocarbon,烴；碳氫化合物；烴類
suction,吸；吸引；吸取；抽吸；空吸
prune,修剪
cropped,剪裁；裁切
eyelid,眼簾；眼瞼
axes,軸線；軸向
recoil,反衝
osteoporosis,骨質疏鬆；骨質疏鬆症；骨鬆症；骨鬆病
greasy,油脂的
childbirth,分娩
geothermal,地熱；地溫；地熱的
ghetto,貧民區
cramps,痙攣
freebie,贈品
interconnect,連線；互連
torpedo,魚雷；雷管
cauliflower,花椰菜
screwdriver,螺絲起子
kraft,牛皮紙
prognosis,預報；預後
calculus,結石；微積分；計算法
cutout,切斷；截去
annotation,註記；譯註；註解
hare,野兔
oxidation,氧化；生鏽；氧化作用
eel,鰻
encyclopedia,百科全書
alum,明礬
pediatrics,小兒科學
projectile,發射體
mellow,圓潤
whey,乳清
technologist,技術士
abbreviation,縮寫
rana,雷納
breakaway,脫離
imperfection,瑕疵；缺陷；不完全；不完美
bigotry,偏執狂
fungal,黴菌的；真菌的
manoeuvre,操縱
sockets,齒槽
refurbishment,整修
boxed,盒裝；加框
malpractice,不法情事；處理不當；處置失當
fumes,有害氣體；薰煙
epoxy,環氧樹脂
snorkel,排氣管
licensure,核發執照；執照核發
recapture,重獲；再捕獲
whirlwind,旋風
vortex,渦；漩渦；渦流；渦旋；渦漩
weir,堰
iodine,碘
storefront,櫥窗
occurrences,發出
barrow,手推車；閹豬
